x_img,y_img,x_field,y_field,name
1262,545,52.5,34.0,P1_centro_circulo
1267,463,52.5,24.85,P2_circulo_arriba_interseccion_medio
1260,642,52.5,43.15,P3_circulo_abajo_interseccion_medio
996,527,43.35,34.0,P4_circulo_izquierda_extremo
1532,556,61.65,34.0,P5_circulo_derecha_extremo
1271,307,52.5,0.0,P6_medio_campo_con_banda_superior
1243,1061,52.5,68.0,P7_medio_campo_con_banda_inferior
