frame,id,X_m,Y_m
0,1,54.197175135274875,-2.15375077388569
0,2,40.83458094060729,11.522647896309389
0,3,66.08243510500155,11.168931397774774
0,4,59.32018592701478,45.184301551440285
0,5,52.76692152916436,45.19420543865373
0,6,53.20052445828859,-1.832100990925009
0,7,54.19608064668327,22.35267272200713
0,8,45.1823156620712,-2.6180045940875263
0,9,47.5242693459134,46.33178784324122
0,10,59.65849372164322,30.248317365269376
0,11,33.89689402940457,22.971818285519568
0,12,44.99446591576841,31.584640894656854
0,13,62.2779620756527,36.90428904745319
0,14,68.12987808231745,39.06137220637564
0,15,53.92259388904163,58.935100970517745
0,16,42.11003495678253,54.42739360925684
0,17,52.712614316753395,35.900761248780114
0,18,68.0481768726716,50.377670708143725
0,19,70.01254564521885,29.466602414041187
0,20,33.841166488373446,36.83246322483105
0,21,45.99221938756684,37.284954054801794
0,22,51.535138983224094,49.18522827165672
0,23,37.33075800750366,47.76368269148491
0,24,71.44829029395942,-1.4345500108271623
0,25,51.9177615493495,25.884354153795375
1,1,54.19653043375431,-2.1340228508262613
1,2,40.83446002001126,11.61816750129683
1,3,66.09506559766778,11.086838872403526
1,4,59.333336359599045,45.25855219082799
1,5,52.7595398016274,45.27994460888434
1,6,53.20560935111573,-1.8030463950811302
1,7,54.15685392187232,22.412823680153707
1,8,45.18387673342959,-2.6035481631975745
1,9,47.52134195210437,46.42090980930983
1,10,59.66489918453091,30.296917713414302
1,11,33.90820935476533,23.02099115111515
1,12,44.99795928949435,31.670112559064265
1,13,62.26855098130493,36.99186487903584
1,14,68.13981169035213,39.145610804280665
1,15,53.924844982150184,58.98781404932916
1,16,42.13179159334906,54.60353862238676
1,17,52.71637898318548,36.00316698810229
1,18,68.06391102586085,50.534215227536016
1,19,70.00340863449702,29.522500901736507
1,20,33.777989596837756,37.0355138168995
1,21,46.003383219064695,37.354374139828295
1,22,51.54999725366566,49.2733124804842
1,23,37.333164652105765,47.8588267789304
1,24,71.48114131234813,-1.4247828544906662
1,25,51.92174977021,25.983586514977787
2,1,54.1937135241074,-2.117940777226537
2,2,40.83869037989641,11.72778622435747
2,3,66.13476911585742,11.033468017632854
2,4,59.345164435250716,45.32625732090808
2,5,52.754665450462205,45.30210294725703
2,6,53.206644993382646,-1.7923974791938768
2,7,54.118349400643986,22.429435251332674
2,8,45.17739008793889,-2.5937501421969116
2,9,47.50844364884176,46.564573097309214
2,10,59.66787450234511,30.362400315243775
2,11,33.93299082193375,23.054364839870207
2,12,44.99052056376003,31.67586441922229
2,13,62.25543123666044,37.00949208983927
2,14,68.1449546110703,39.2417616657949
2,15,53.92220217988684,59.02170153693868
2,16,42.14676980758063,54.6766588220695
2,17,52.72351311450141,36.027689228962764
2,18,68.0659125649665,50.605819377957346
2,19,69.97876954429357,29.551782255584406
2,20,33.74244631749357,37.092893054614635
2,21,45.997270957330926,37.43609656863953
2,22,51.59171667174289,49.296405224148174
2,23,37.31782074143127,47.96640352337875
2,24,71.51514335092764,-1.4044219596785479
2,25,51.93246917590126,26.024390241866307
3,1,54.190711299614456,-2.0949642459223305
3,2,40.83471071538028,11.81297583633096
3,3,66.19093125410792,10.992789278026947
3,4,59.3477814843458,45.40585647645882
3,5,52.742574788267,45.342364737988916
3,6,53.211264665198364,-1.773701195858378
3,7,54.09525316419982,22.48462086057043
3,8,45.17552215197015,-2.5817401582060695
3,9,47.495802762711655,46.65611976490776
3,10,59.65362820369928,30.437117412030968
3,11,33.932912372277755,23.09107880407085
3,12,44.986032827783696,31.725636243003017
3,13,62.246539551620884,37.0996816546399
3,14,68.149930878707,39.3464379652242
3,15,53.92538631248162,59.068464714645145
3,16,42.15789508101727,54.79610434173422
3,17,52.72615941455324,36.08338656691027
3,18,68.06674461093345,50.647691316024456
3,19,69.95783917554945,29.592222827741768
3,20,33.703203547273446,37.17724932457509
3,21,45.99667367453982,37.511050262944714
3,22,51.60919475879891,49.39658495289514
3,23,37.31238474194134,48.08056318929057
3,24,71.52550143714979,-1.3735019139611804
3,25,51.94369186050814,26.093015911368497
4,1,54.19225844972741,-2.066556869198497
4,2,40.826076868018035,11.918401860434326
4,3,66.23676268087202,10.753589743055064
4,4,59.36340486201375,45.492058321308484
4,5,52.743577869278454,45.409182624104865
4,6,53.21334125384271,-1.7496303708987204
4,7,54.08707805049394,22.56836328272851
4,8,45.17560540547868,-2.5587416416257915
4,9,47.47795645333556,46.79790191234699
4,10,59.67218290905955,30.480763300045293
4,11,33.908323821973596,23.186562484497912
4,12,44.99098738055539,31.81296321501864
4,13,62.233916793725065,37.179322492645255
4,14,68.16459569860932,39.48184089993588
4,15,53.93968286094565,59.20083004886203
4,16,42.17067468732798,54.987528863425915
4,17,52.73838849522486,36.21108045030573
4,18,68.07974026898779,50.79793124402438
4,19,69.95771629125892,29.6818772288558
4,20,33.67309699582994,37.22519298666126
4,21,45.99619784764191,37.61586165499351
4,22,51.6235337744907,49.532684172264744
4,23,37.29752170768446,48.242884405411075
4,24,71.53543299049167,-1.3349227148376577
4,25,51.95290103125044,26.2191509962905
5,1,54.193498484161964,-2.0417212140534335
5,2,40.8250504141389,12.017913555464668
5,3,66.33117337145588,10.487467785674346
5,4,59.36843901003561,45.605591340767496
5,5,52.74356223138199,45.424392279756766
5,6,53.21182353395751,-1.7249968124483244
5,7,54.06721021718777,22.62334262640147
5,8,45.174084328204906,-2.5343393084683337
5,9,47.46271511871805,46.88912026160376
5,10,59.65143428501347,30.532855966027448
5,11,33.89856742397267,23.239180390435575
5,12,44.984215960845255,31.89830897112554
5,13,62.222966923698685,37.27329317652578
5,14,68.1747739204462,39.60183721445375
5,15,53.953526461416466,59.35166250660305
5,16,42.1603929168894,55.15345097174536
5,17,52.75481380710789,36.35434273608659
5,18,68.10052951064324,50.93301034014886
5,19,69.95269801510516,29.724731129603583
5,20,33.65127853421642,37.28409468730972
5,21,46.00186152887156,37.68222091707478
5,22,51.653563915297944,49.62358416998891
5,23,37.28070667455429,48.43202690992237
5,24,71.54329352276851,-1.3073848659852698
5,25,51.95485490891864,26.238085371097686
6,1,54.19309962649322,-2.0319590000484373
6,2,40.825644086068856,12.069660570790061
6,3,66.50815056355492,10.245012195168618
6,4,59.37436049132824,45.673191485306425
6,5,52.76269057762912,45.43255314768691
6,6,53.20555651568151,-1.7173975193192055
6,7,54.04643371311209,22.651691866349335
6,8,45.173680307899446,-2.524927114084082
6,9,47.438498122515746,46.96832973269178
6,10,59.642665382791655,30.595164692212823
6,11,33.89378958964425,23.27552862661075
6,12,44.980784704578205,31.93708791569225
6,13,62.20805178710181,37.30071949830167
6,14,68.17766121119071,39.64330710779646
6,15,53.94723413721793,59.39674353510002
6,16,42.16953639467425,55.200026578125545
6,17,52.76263786036426,36.412828395286695
6,18,68.10434999891662,50.96831242808089
6,19,69.96233329279679,29.72739849052038
6,20,33.65234707920867,37.2733975245024
6,21,46.00833426891834,37.705031284107875
6,22,51.67570382885156,49.63978328696079
6,23,37.27570759904377,48.528340549426986
6,24,71.54633969317112,-1.2917007966581167
6,25,51.9572439932834,26.260405360684043
7,1,54.19515882369863,-2.0278417089132237
7,2,40.82879029752339,12.09416711121352
7,3,66.60707161142761,10.048374480957143
7,4,59.381280424246356,45.73747490510899
7,5,52.76465178328215,45.47780293257838
7,6,53.20231044559699,-1.7156353829402553
7,7,54.0023394414567,22.680281996225993
7,8,45.17406114609387,-2.520177830956613
7,9,47.426571417532756,47.03326870805992
7,10,59.62860984550001,30.63062139274555
7,11,33.894393264140604,23.290799261755325
7,12,44.98997159295259,31.958803749085465
7,13,62.194319130722,37.32479197287957
7,14,68.1750011150282,39.668277462975695
7,15,53.94880407396642,59.4380753162712
7,16,42.18500741521354,55.257191163127146
7,17,52.76789911542002,36.44104459211136
7,18,68.0933103099556,50.972791122924924
7,19,69.96809083030308,29.717514270294174
7,20,33.642845093312175,37.309391569451336
7,21,46.0054931954735,37.71380889260064
7,22,51.718340679798686,49.702187967809344
7,23,37.26905521617467,48.61330339471584
7,24,71.5286253891545,-1.2809359008433734
7,25,51.9538010939185,26.274485437485954
8,1,54.19512779147929,-2.0304877366573906
8,2,40.83154090582474,12.088646854809031
8,3,66.6605878164109,9.891884994801696
8,4,59.38983541115969,45.75866092617373
8,5,52.78008134652349,45.54576378972583
8,6,53.19968853271091,-1.7207106784289083
8,7,53.96218573335848,22.61125638408952
8,8,45.17459397538593,-2.521037085943793
8,9,47.429498575825846,47.03024497765241
8,10,59.62352848338227,30.598323760728967
8,11,33.901746595619564,23.29110727414923
8,12,44.99757836190323,31.93694833936667
8,13,62.177924388318125,37.332065772214634
8,14,68.17264597391306,39.66670693913404
8,15,53.95065313972771,59.45636444933956
8,16,42.21158328766453,55.27194277457667
8,17,52.77248943782553,36.38948047003706
8,18,68.0745197541058,50.959187991497274
8,19,69.97090222555681,29.69818656110657
8,20,33.64853951487144,37.31480376085257
8,21,46.013751866640675,37.72564743761798
8,22,51.772231227200926,49.717214436221454
8,23,37.27096003104492,48.628425264702365
8,24,71.52035270644338,-1.2811561509790566
8,25,51.96833250704764,26.262093696335814
9,1,54.194844888051335,-2.0339460470746866
9,2,40.84099078170575,12.071155526046178
9,3,66.72762416303544,9.780187872378804
9,4,59.3992936429548,45.73454636477797
9,5,52.79260627036104,45.6542662738388
9,6,53.19399370004934,-1.7222146451196105
9,7,53.925374028342645,22.579989358384815
9,8,45.17499524176901,-2.5301559496449584
9,9,47.412560554237366,47.01671605076191
9,10,59.61857701852895,30.571259008142363
9,11,33.91007749518985,23.265208278154528
9,12,45.015542878512825,31.8923429425401
9,13,62.16170502501709,37.29538399636333
9,14,68.1577306477873,39.64230242118798
9,15,53.95189100473325,59.42113038149258
9,16,42.24743031481875,55.26303755131279
9,17,52.789370368443294,36.28388404336832
9,18,68.04683243507979,50.89932798321168
9,19,69.96170547969396,29.661581516808624
9,20,33.64833374206869,37.28936163299301
9,21,46.021645746125074,37.69791490100005
9,22,51.79207054686188,49.70919550925433
9,23,37.2773489521268,48.60977934798764
9,24,71.48943344534769,-1.2964627877902788
9,25,51.973195405191895,26.174993971242888
10,1,54.19534844177158,-2.0359280386558654
10,2,40.85344161493479,12.075326893873292
10,3,66.8028504684992,9.702592145713053
10,4,59.409405850396446,45.744982533347
10,5,52.804039782610765,45.76303771527843
10,6,53.18709388304984,-1.7245334099110154
10,7,53.88453939859513,22.570058207911135
10,8,45.17382862083042,-2.5343103168270957
10,9,47.40363202122135,47.02488722435989
10,10,59.61452381324396,30.574377109514177
10,11,33.913617997266094,23.259944631592063
10,12,45.0170055147364,31.876024806598878
10,13,62.166981899740534,37.29696881513231
10,14,68.13174249773554,39.66713185612564
10,15,53.94683751800801,59.33473838069299
10,16,42.27369543601039,55.275036726391725
10,17,52.803670785733,36.20864190842194
10,18,68.02115170375889,50.870294377129504
10,19,69.94992839885087,29.632141250844377
10,20,33.656640196504505,37.25071367692232
10,21,46.02827297926075,37.675823727177985
10,22,51.81454983468677,49.69453661366223
10,23,37.281936880062595,48.558789689474516
10,24,71.46897827764029,-1.3027923228678813
10,25,51.984413492866025,26.137164308800475
11,1,54.196479132647866,-2.0375535303188625
11,2,40.85795514039191,12.088172963592774
11,3,66.86390174497625,9.445032236698449
11,4,59.41661140135896,45.77151188156315
11,5,52.800668079238214,46.06193826033592
11,6,53.18140179066907,-1.7220665411526925
11,7,53.83218069067754,22.560031179290387
11,8,45.17601802924557,-2.5306205097867602
11,9,47.393243312552286,47.05459941236558
11,10,59.61004964158484,30.5802059769158
11,11,33.91605232713147,23.283415252917894
11,12,45.02335140038734,31.881041804365406
11,13,62.13357648795763,37.30484673572989
11,14,68.10274326485349,39.69714246908218
11,15,53.945096222641645,59.28847778342613
11,16,42.30013908532748,55.33793341046953
11,17,52.80906020673072,36.235621098534516
11,18,67.99312172086617,50.88546685409142
11,19,69.9449893929801,29.636946478739578
11,20,33.64075833828308,37.24685035643064
11,21,46.03192658081983,37.68425701356929
11,22,51.86226473931649,49.76728958226508
11,23,37.29439905426611,48.55048039837196
11,24,71.45372094469724,-1.307718263793033
11,25,51.98973201991679,26.11409313592268
12,1,54.19791779030274,-2.0383246012242684
12,2,40.859758884275614,12.097979334780048
12,3,66.91613467898036,9.161449135032228
12,4,59.41958907353718,45.78854899722607
12,5,52.79399782367993,46.32143048386189
12,6,53.174945002826156,-1.721289983091184
12,7,53.79238720599662,22.556143511241288
12,8,45.17645048842565,-2.527428792605383
12,9,47.39137159292403,47.06130837134239
12,10,59.61127495211796,30.58434098868641
12,11,33.91820201214634,23.288303664090783
12,12,45.03561624117299,31.874688629736085
12,13,62.12292665740097,37.307303580734654
12,14,68.10719507174954,39.723262391970394
12,15,53.936935806635226,59.2208871734657
12,16,42.32649764208018,55.39784899051496
12,17,52.814230278337696,36.24800197059405
12,18,67.96397865730648,50.88253838611614
12,19,69.94500671194872,29.62406657302713
12,20,33.61991327051997,37.25528545153235
12,21,46.032886891261,37.677082866758035
12,22,51.899197589287716,49.78128658825396
12,23,37.29747106128091,48.54936553768491
12,24,71.43881047850014,-1.308621104383845
12,25,51.99353922327235,26.10232982015563
13,1,54.198749819487524,-2.0388124153163885
13,2,40.86027341703223,12.113981727511568
13,3,66.99795917031028,8.886894771061407
13,4,59.42349121263804,45.804826047631146
13,5,52.801770984620916,46.65860113705321
13,6,53.170001902657376,-1.7208766349410332
13,7,53.73110053869047,22.532542341477726
13,8,45.176492993457465,-2.527274412889881
13,9,47.39330813825126,47.043712788352664
13,10,59.61499110716538,30.597882618727027
13,11,33.92700698205945,23.289982947286347
13,12,45.05075568510735,31.868835349917873
13,13,62.07177210754007,37.329515193141866
13,14,68.15429126696154,39.74048408903677
13,15,53.932820364795255,59.20323566293316
13,16,42.36678492007329,55.507695802692176
13,17,52.824463341574116,36.27778282504156
13,18,67.94913520996171,50.91383338330035
13,19,69.92675883335536,29.63202779814713
13,20,33.58737090484034,37.27407019712855
13,21,46.03978396426671,37.64146179253616
13,22,51.93148572280715,49.76792279071767
13,23,37.30375698926289,48.55865444957972
13,24,71.43555997735476,-1.3146710702399487
13,25,51.98980500413796,26.12108586310077
13,28,35.93967637354894,67.66723775786565
14,1,54.20337154776497,-2.039369619812343
14,2,40.86495360437286,12.105903412130953
14,3,67.09532261881377,8.602532250691764
14,4,59.4290946368732,45.83450695368415
14,5,52.819698464988825,46.948547810446286
14,6,53.164257027878314,-1.7232429246405971
14,7,53.67049859465299,22.506450998755938
14,8,45.178834986856344,-2.531441892233957
14,9,47.392510030307214,47.0431373362544
14,10,59.61694527177255,30.59629090736321
14,11,33.936161409103704,23.282157538047752
14,12,45.0543299792164,31.84494760577031
14,13,62.06100263229826,37.332237391221454
14,14,68.18148351144828,39.72886442424213
14,15,53.91616499479155,59.18728640417998
14,16,42.405433775833515,55.47874649697941
14,17,52.84749348313399,36.30082077591851
14,18,67.92307159584414,50.904238020110775
14,19,69.89475502014054,29.58777733981231
14,20,33.569059007558444,37.22629497996103
14,21,46.04354371143118,37.56710767755131
14,22,51.94514882741507,49.773568482409054
14,23,37.318202413774245,48.50587412280329
14,24,71.43047274734344,-1.321066072537912
14,25,51.9763306339279,26.117774147245036
14,28,35.946434821105434,67.6134038900644
15,1,54.200622149267005,-2.0477798536148955
15,2,40.86668262933692,12.044281514392075
15,3,67.18159101559559,8.29780480931358
15,4,59.41882398366823,45.797518145070505
15,5,52.83335114294162,46.96713417332471
15,6,53.1534127124099,-1.7348700832194892
15,7,53.62311879506187,22.4912589351834
15,8,45.178547173280506,-2.540140270380626
15,9,47.38364557871407,46.98682760582712
15,10,59.61545243315654,30.539159005028583
15,11,33.95028770087953,23.237181035279946
15,12,45.06430575827898,31.798942383352614
15,13,62.040459811785674,37.31180863026844
15,14,68.19443882783773,39.72766739426943
15,15,53.89595967181802,59.1045768651027
15,16,42.43943094564901,55.409214776230016
15,17,52.85706038917436,36.26054974882156
