x_img,y_img,x_field,y_field,name
925,502,52.5,34.0,P1_centro_circulo
924,422,52.5,24.85,P2_circulo_arriba_interseccion_medio
925,598,52.5,43.15,P3_circulo_abajo_interseccion_medio
655,500,43.35,34.0,P4_circulo_izquierda_extremo
1192,500,61.65,34.0,P5_circulo_derecha_extremo
923,265,52.5,0.0,P6_medio_campo_con_banda_superior
926,1025,52.5,68.0,P7_medio_campo_con_banda_inferior
