team,id,X_m,Y_m,player_cluster
local,1,55.986167571877786,-1.5472720691928292,local_0
local,6,57.845897309343336,-0.2553302371574058,local_0
local,8,51.5174730325183,-0.8974327203602794,local_1
local,24,71.3404898629696,-0.5162535092288136,local_2
local,43,54.73381941509293,39.19055624939545,local_3
local,125,68.88493833455051,-1.6720270617536808,local_2
local,346,39.77307962388197,-0.9984695186857908,local_4
local,505,69.87676803271313,0.6525391431260593,local_2
local,533,51.02743275522865,24.342446628044407,local_5
local,901,49.13977959538767,-1.620601593661709,local_1
local,906,45.63074653795679,-0.7749385820430861,local_6
local,1143,73.45434848917651,3.813012214874032,local_7
local,1184,46.36223374469016,33.14878792206042,local_8
local,1249,38.93513639621638,-2.9305370423842905,local_4
visitante,3,63.362540973098895,15.002684520860065,visitante_0
visitante,4,59.157017776242434,46.02234635398256,visitante_1
visitante,6,63.466421588988275,-2.5895866692794143,visitante_2
visitante,7,53.030100237520735,23.24760791044182,visitante_3
visitante,10,54.18258088909672,26.38794669643205,visitante_3
visitante,13,60.00815582374453,31.208111129235295,visitante_4
visitante,14,70.55677822090254,35.408262095092965,visitante_5
visitante,15,47.304434977858286,50.333390667940016,visitante_6
visitante,18,69.38012732930817,50.29749977372721,visitante_7
visitante,19,69.87662167527743,31.56018625174898,visitante_8
visitante,39,44.73038263950849,40.89376247723231,visitante_9
visitante,65,43.14074912600635,15.254035574502767,visitante_10
visitante,118,55.949007820256504,36.44096810781257,visitante_11
visitante,225,68.35174139299538,45.20061556083753,visitante_12
visitante,420,70.06860198153457,16.1347453615753,visitante_13
visitante,508,51.865407978202086,38.240566100584275,visitante_14
visitante,527,53.98989810001296,8.178294668542325,visitante_15
visitante,563,59.74072343032022,11.19647502184672,visitante_16
visitante,680,34.88101404849432,33.58605875907267,visitante_17
visitante,908,53.273726363882275,25.02139937730996,visitante_3
visitante,1096,79.6612662536898,38.36000798750143,visitante_18
visitante,1113,70.26978967317505,22.717942294925543,visitante_19
visitante,1208,39.23114709843034,5.7620585543587195,visitante_20
