team,id,X_m,Y_m
local,1,55.986167571877786,-1.5472720691928292
local,3,44.242716559706025,11.550928026405415
local,5,52.79826895272019,46.60090600166544
local,6,57.845897309343336,-0.2553302371574058
local,8,51.5174730325183,-0.8974327203602794
local,9,47.720100252385556,46.5655976228338
local,11,32.62271769906634,22.57575298695018
local,12,40.739419858302476,21.0967180005235
local,18,71.92988739878444,51.979626306451436
local,20,37.77312676161659,35.73621313069061
local,21,49.07116594017498,39.01440261381409
local,24,71.3404898629696,-0.5162535092288136
local,28,36.22795914536342,66.31521158840775
local,43,54.733819415092924,39.19055624939545
local,112,39.26927671540324,-3.1048734248155503
local,118,56.702318697698445,35.614465436952315
local,125,68.88493833455051,-1.6720270617536808
local,144,46.0158752328165,58.83263085739583
local,156,71.90479787628549,51.9896572337695
local,181,72.94162328407813,-1.7849768202932792
local,195,44.3862062441733,60.41435493759202
local,218,57.399860407221745,61.38994018643732
local,227,58.782538581112426,45.631102219812945
local,228,70.93289226880526,37.34546027172518
local,239,43.812781734099865,59.490394667343416
local,244,90.64706395108098,55.774668886156036
local,267,64.21097634794442,25.22952551674224
local,271,42.35823017395492,61.21824427405838
local,272,67.40991291544108,-2.2668358228684107
local,282,37.47013750913988,65.15711889067069
local,298,64.51476661693593,63.685948880179104
local,305,87.3865018946275,62.93461587932959
local,325,68.82583963410207,29.103361269518643
local,346,39.77307962388197,-0.9984695186857907
local,355,40.61043584880901,64.09154553217573
local,359,35.46673123656563,37.9820936318987
local,361,66.61201918091604,-1.1132932729247265
local,395,37.19154202437784,-2.9865301577555905
local,419,37.50248770147083,-2.6518658404970576
local,428,40.810482409465855,-3.128319752329349
local,433,68.84842992418939,-0.25770476242260154
local,444,50.66871051515335,26.83668881245113
local,463,50.96091500990231,26.24093362453711
local,478,50.99628346953696,26.430712581911894
local,482,69.48316507797276,0.5527900148685962
local,505,69.87676803271313,0.6525391431260593
local,510,40.65826826771248,24.31744808539694
local,533,51.02743275522865,24.342446628044407
local,547,42.21527200648211,59.49551753405011
local,582,43.927386597550914,60.77159015682047
local,598,45.26319987457839,60.588864123374066
local,627,47.0031409938596,60.277243624121525
local,676,52.960834451657355,61.0632229367144
local,685,72.70069053518067,-2.992345424983005
local,709,51.36946369487766,22.319499415252224
local,761,53.85409426908553,31.676902804160083
local,774,49.8395316850395,62.39411074644971
local,808,45.0394297402879,63.724758362160046
local,827,58.551162923840195,31.049608482059465
local,838,34.10270914384361,-1.3789557305408566
local,875,49.86672242473938,62.18508787089572
local,897,71.97469879699102,1.1264981317558684
local,901,49.13977959538767,-1.620601593661709
local,906,45.63074653795679,-0.7749385820430861
local,933,48.87744117861083,59.832220384494555
local,940,56.242162686324,27.236079248524085
local,945,71.39319382579102,-1.393397563474066
local,1019,72.18443092690173,1.5165509261762145
local,1040,58.34651669526313,27.706327333527994
local,1067,65.88136324259187,22.134948227525364
local,1106,71.3988100544458,-2.618806035567654
local,1113,71.90542458684416,19.400214859104523
local,1124,72.79866138317507,5.01624300485457
local,1128,72.69926346407821,-2.2427353937269863
local,1138,73.29625576152706,5.257009111526402
local,1139,39.35863506174845,52.86601064133167
local,1143,73.45434848917651,3.8130122148740324
local,1154,74.300460221545,5.883773792641092
local,1176,36.000392157090054,51.79885965035064
local,1184,46.36223374469016,33.14878792206042
local,1191,43.56616789373996,-3.1690748604890677
local,1196,66.40367500522234,-2.7947992607287993
local,1204,70.37917438056056,-2.480366680501104
local,1209,67.02559063977978,-3.2550011996463395
local,1219,62.805435883031905,-3.188712260458746
local,1228,43.7735380111513,26.742207248842835
local,1236,43.98066966818836,27.358171125040805
local,1237,44.21606302250258,25.81562103617175
local,1249,38.93513639621638,-2.9305370423842905
local,1251,29.884234789822983,58.38642514863534
local,1268,30.643509572916194,58.76638123026858
local,1273,74.83791765823128,2.910371333682117
local,1274,45.21219933089086,32.23116687908396
local,1284,76.21955882588834,2.0607101681309365
local,1292,30.661029628855058,60.6259944718435
local,1302,32.80370109522507,59.12610825496606
local,1306,76.00532851876092,3.6220552245062736
local,1330,51.85409649767782,43.90970907361403
local,1347,58.96090952318761,47.77422695442271
local,1358,64.01013707025942,-3.153254568853122
local,1366,73.99171991723797,-2.966109287599356
local,1401,53.834251582846186,44.919484762031594
local,1402,26.69537278803735,61.93909400694131
local,1471,59.75018130397465,49.87083031428176
visitante,3,63.362540973098895,15.002684520860065
visitante,4,59.157017776242434,46.02234635398256
visitante,5,52.78226099992468,45.975024026146066
visitante,6,63.466421588988275,-2.5895866692794143
visitante,7,53.030100237520735,23.24760791044182
visitante,10,54.18258088909672,26.38794669643205
visitante,12,50.761858281883285,22.262835250645065
visitante,13,60.00815582374453,31.208111129235295
visitante,14,70.55677822090254,35.408262095092965
visitante,15,47.304434977858286,50.333390667940016
visitante,17,70.3013527664816,34.69261071125968
visitante,18,69.38012732930817,50.29749977372721
visitante,19,69.87662167527743,31.56018625174898
visitante,28,35.961413907287586,67.39892587272983
visitante,39,44.73038263950849,40.89376247723231
visitante,43,57.4034107558326,44.40395822913963
visitante,44,48.34059792492382,41.68060319667032
visitante,65,43.14074912600635,15.254035574502767
visitante,71,46.98571514458948,40.68205543389963
visitante,118,55.949007820256504,36.44096810781257
visitante,125,66.75585426096045,-2.226860200989491
visitante,144,45.89942500028051,59.05678855146454
visitante,155,54.39384772430147,57.041479079176014
visitante,166,74.49192560840793,40.63943061450124
visitante,195,44.34974508418939,60.42909593362501
visitante,225,68.35174139299538,45.20061556083753
visitante,239,43.69679162079586,59.39368473368598
visitante,267,66.43159813203759,26.35433748947553
visitante,282,37.19011017383249,65.2244723117074
visitante,298,64.65300183434348,64.36724779884436
visitante,305,87.38471198576677,62.87382387459903
visitante,318,69.73960753820573,26.1554093150071
visitante,355,40.918483039704455,65.75571440024322
visitante,359,35.60035208065213,37.742876433380964
visitante,390,62.26183716725431,65.82915497590469
visitante,420,70.06860198153457,16.1347453615753
visitante,432,69.84939561526606,46.14405292392919
visitante,452,45.19045130146245,17.698765421624866
visitante,505,72.27269233880239,-2.5147674116049066
visitante,508,51.865407978202086,38.240566100584275
visitante,510,33.93271007530424,30.653655970436525
visitante,523,42.99701712462583,24.517496686756942
visitante,527,53.98989810001296,8.178294668542325
visitante,533,48.12134224929011,24.03620214813206
visitante,547,41.77602542022177,59.258614732027226
visitante,549,46.608060879300254,9.130343614325085
visitante,563,59.74072343032022,11.19647502184672
visitante,598,45.794713858428906,61.12468060083766
visitante,676,52.68703412363471,60.63452713221017
visitante,680,34.88101404849432,33.58605875907267
visitante,703,52.245277266160215,13.93727569050668
visitante,722,50.792586283166926,14.907367458454399
visitante,761,51.854436681921776,27.53135631984384
visitante,765,50.919466940789626,62.22622462587858
visitante,789,46.3656652973739,62.735996444684226
visitante,808,45.20558170390427,63.81993370576139
visitante,810,32.940961866039146,37.99549371703951
visitante,813,70.92360753680423,64.22744843809599
visitante,838,34.01518594740284,-0.9782298987851432
visitante,859,46.679421680076324,65.20778996171138
visitante,861,37.13396124717083,66.60897602226292
visitante,869,58.52415747984155,5.3615552330363645
visitante,875,49.82713941919604,61.79653863097111
visitante,897,71.99562568949301,-2.5050771063682373
visitante,901,52.14833700093463,-2.524245103202071
visitante,906,39.91376726702204,-3.4271096461730006
visitante,908,53.273726363882275,25.02139937730996
visitante,923,75.3726218991151,24.1833070027741
visitante,933,48.844168189444666,59.33999412101933
visitante,940,48.66434158386136,25.90443653782048
visitante,957,74.68919004427414,23.89440355829195
visitante,962,66.6896941229282,21.184503903663288
visitante,963,45.51831000019234,8.32169595439607
visitante,1096,79.6612662536898,38.36000798750143
visitante,1113,70.26978967317505,22.717942294925546
visitante,1139,39.06312292874359,53.46967390420308
visitante,1152,51.22368672017945,21.86143170504667
visitante,1170,50.000548746453426,22.34199080111792
visitante,1176,35.03029511227985,52.755310420236064
visitante,1191,43.730948951702956,-3.229381306786319
visitante,1208,39.23114709843034,5.7620585543587195
visitante,1270,53.183678626257695,50.3055229204981
visitante,1292,30.719147503455957,60.6794511572074
visitante,1302,32.71198638013847,59.52716671015544
visitante,1346,39.30413756425342,9.671816083802629
visitante,1347,54.483285944635206,46.32469617852163
visitante,1371,55.004201185326735,48.461224351399686
visitante,1402,26.45241651560136,61.608105697391764
visitante,1452,75.68905992542258,49.730384884460136
visitante,1455,66.1862597202513,42.095510887639925
visitante,1462,75.98945029317473,52.16808684706402
visitante,1463,68.90626785811081,42.74517636289461
