x_img,y_img,x_field,y_field,name
662,553,52.5,34.0,P1_centro_circulo
660,485,52.5,24.85,P2_circulo_arriba_interseccion_medio
665,635,52.5,43.15,P3_circulo_abajo_interseccion_medio
652,349,52.5,0.0,P4_medio_campo_con_banda_superior
682,995,52.5,68.0,P5_medio_campo_con_banda_inferior
1639,520,94.0,34.0,P6_punto_penalti_derecha
1367,402,88.5,13.85,P7_area_grande_dcha_esquina_interior_sup
1746,714,88.5,54.15,P8_area_grande_dcha_esquina_interior_inf
1667,457,99.5,24.84,P9_area_pequena_dcha_esquina_interior_sup
